countries,feature,value,confidence
Egyptian,big lips,no,0.18
Egyptian,big nose,no,0.35
Egyptian,black hair,no,0.33
Egyptian,blond hair,no,0.68
Egyptian,blurry,yes,0.32
Egyptian,brown hair,no,0.41
Egyptian,bushy eyebrows,no,0.55
Egyptian,chubby,no,0.28
Egyptian,double chin,no,0.71
Egyptian,expression,neutral,0.39
Egyptian,gender,female,0.44
Egyptian,glasses,no,1.0
Egyptian,goatee,no,0.44
Egyptian,gray hair,no,0.9
Egyptian,heavy makeup,no,1.0
Egyptian,high cheekbones,no,0.13
Egyptian,mouth open,no,0.18
Egyptian,mustache,no,0.56
Egyptian,narrow eyes,no,0.78
Egyptian,oval face,yes,0.49
Egyptian,pale skin,no,0.87
Egyptian,pointy nose,no,1.0
Egyptian,race,black,0.7
Egyptian,receding hairline,yes,0.15
Egyptian,rosy cheeks,no,1.0
Egyptian,sideburns,no,0.73
Egyptian,straight hair,no,0.35
Egyptian,wavy hair,no,1.0
Egyptian,wearing earrings,no,0.07
Egyptian,wearing hat,yes,0.39
Egyptian,wearing lipstick,no,0.79
Egyptian,wearing necklace,no,0.32
Egyptian,wearing necktie,no,1.0
Egyptian,young,yes,0.88
English,5oclock shadow,no,1.0
English,arched eyebrows,no,0.03
English,attractive,yes,0.09
English,bags under eyes,no,0.85
English,bald,no,0.78
English,bangs,no,0.21
English,beard,no,0.94
English,big lips,no,0.43
English,big nose,no,1.0
English,black hair,no,0.81
English,blond hair,yes,0.16
English,blurry,no,0.1
English,brown hair,yes,0.16
English,bushy eyebrows,no,1.0
English,chubby,no,0.89
English,double chin,no,1.0
English,expression,neutral,0.55
English,gender,female,1.0
English,glasses,no,1.0
English,goatee,no,0.95
English,gray hair,no,0.87
English,heavy makeup,no,0.12
English,high cheekbones,no,0.39
English,mouth open,no,0.98
English,mustache,no,1.0
English,narrow eyes,no,0.36
English,oval face,yes,0.53
English,pale skin,no,0.07
English,pointy nose,no,0.64
English,race,white,0.99
English,receding hairline,no,0.36
English,rosy cheeks,no,0.97
English,sideburns,no,0.97
English,straight hair,yes,0.9
English,wavy hair,no,1.0
English,wearing earrings,no,0.19
English,wearing hat,no,1.0
English,wearing lipstick,yes,0.27
English,wearing necklace,no,0.12
English,wearing necktie,no,0.97
English,young,yes,0.58
Ethiopian,5oclock shadow,no,0.97
Ethiopian,arched eyebrows,no,0.21
Ethiopian,attractive,no,0.76
Ethiopian,bags under eyes,no,0.1
Ethiopian,bald,no,0.17
Ethiopian,bangs,no,0.69
Ethiopian,beard,no,0.72
Ethiopian,big lips,no,0.09
Ethiopian,big nose,yes,0.06
Ethiopian,black hair,yes,0.02
Ethiopian,blond hair,no,0.84
