countries,feature,value,confidence,meaning
Austrian,receding hairline,no,0.13,1
Austrian,rosy cheeks,no,0.91,1
Austrian,sideburns,no,0.95,1
Austrian,straight hair,yes,0.54,1
Austrian,wavy hair,no,1.0,1
Austrian,wearing earrings,no,0.83,1
Austrian,wearing hat,no,1.0,1
Austrian,wearing lipstick,no,0.96,1
Austrian,wearing necklace,no,1.0,1
Austrian,wearing necktie,yes,0.27,1
Austrian,young,yes,0.2,1
Brazilian,5oclock shadow,yes,0.16,1
Brazilian,arched eyebrows,no,0.6,1
Brazilian,attractive,no,0.7,1
Brazilian,bags under eyes,no,0.54,1
Brazilian,bald,no,0.61,1
Brazilian,bangs,no,1.0,1
Brazilian,beard,no,0.11,1
Brazilian,big lips,no,0.5,1
Brazilian,big nose,no,0.34,1
Brazilian,black hair,yes,0.2,1
Brazilian,blond hair,no,0.97,1
Brazilian,blurry,no,0.33,1
Brazilian,brown hair,no,0.51,1
Brazilian,bushy eyebrows,yes,0.54,1
Brazilian,chubby,no,0.33,1
Brazilian,double chin,no,0.74,1
Brazilian,expression,neutral,0.96,1
Brazilian,gender,male,0.89,1
Brazilian,glasses,no,1.0,1
Brazilian,goatee,no,0.47,1
Brazilian,gray hair,no,1.0,1
Brazilian,heavy makeup,no,0.95,1
Brazilian,high cheekbones,no,0.79,1
Brazilian,mouth open,no,0.89,1
Brazilian,mustache,no,0.38,1
Brazilian,narrow eyes,no,0.9,1
Brazilian,oval face,yes,0.48,1
Brazilian,pale skin,no,1.0,1
Brazilian,pointy nose,no,0.98,1
Brazilian,race,hispanic,0.99,1
Brazilian,receding hairline,no,0.33,1
Brazilian,rosy cheeks,no,1.0,1
Brazilian,sideburns,no,0.66,1
Brazilian,straight hair,yes,0.38,1
Brazilian,wavy hair,no,1.0,1
Brazilian,wearing earrings,no,0.65,1
Brazilian,wearing hat,no,0.23,1
Brazilian,wearing lipstick,no,1.0,1
Brazilian,wearing necklace,no,0.9,1
Brazilian,wearing necktie,no,0.21,1
Brazilian,young,yes,0.68,1
Cambodian,5oclock shadow,yes,0.17,1
Cambodian,arched eyebrows,no,0.29,1
Cambodian,attractive,no,0.95,1
Cambodian,bags under eyes,no,0.35,1
Cambodian,bald,no,0.57,1
Cambodian,bangs,no,1.0,1
Cambodian,beard,yes,0.14,1
Cambodian,big lips,no,0.29,1
Cambodian,big nose,no,0.09,1
Cambodian,black hair,yes,0.74,1
Cambodian,blond hair,no,1.0,1
Cambodian,blurry,yes,0.01,1
Cambodian,brown hair,no,0.83,1
Cambodian,bushy eyebrows,yes,0.86,1
Cambodian,chubby,yes,0.09,1
Cambodian,double chin,no,0.26,1
Cambodian,expression,neutral,0.22,1
Cambodian,gender,male,0.96,1
Cambodian,glasses,no,1.0,1
Cambodian,goatee,no,0.15,1
Cambodian,gray hair,no,1.0,1
Cambodian,heavy makeup,no,0.86,1
Cambodian,high cheekbones,no,0.2,1
Cambodian,mouth open,no,0.38,1
Cambodian,mustache,no,0.05,1
Cambodian,narrow eyes,yes,0.01,1
Cambodian,oval face,yes,0.4,1
Cambodian,pale skin,no,1.0,1
Cambodian,pointy nose,no,1.0,1
Cambodian,race,asian,1.0,1
Cambodian,receding hairline,no,0.32,1
Cambodian,rosy cheeks,no,1.0,1
Cambodian,sideburns,no,0.37,1
Cambodian,straight hair,yes,0.2,1
Cambodian,wavy hair,no,1.0,1
Cambodian,wearing earrings,no,0.56,1
Cambodian,wearing hat,no,0.24,1
Cambodian,wearing lipstick,no,0.94,1
Cambodian,wearing necklace,no,0.89,1
Cambodian,wearing necktie,no,0.13,1
Cambodian,young,yes,0.46,1
Canadian,5oclock shadow,yes,0.22,1
Canadian,arched eyebrows,no,1.0,1
Canadian,attractive,no,0.17,1
Canadian,bags under eyes,no,0.61,1
Canadian,bald,no,0.81,1
Canadian,bangs,no,0.98,1
Canadian,beard,no,0.24,1
Canadian,big lips,no,0.92,1
Canadian,big nose,no,0.74,1
Canadian,black hair,no,0.72,1
Canadian,blond hair,no,0.65,1
Canadian,blurry,no,0.45,1
Canadian,brown hair,yes,0.52,1
Canadian,bushy eyebrows,no,0.05,1
Canadian,chubby,no,0.81,1
Canadian,double chin,no,1.0,1
Canadian,expression,neutral,0.97,1
Canadian,gender,male,1.0,1
Canadian,glasses,no,1.0,1
Canadian,goatee,no,0.73,1
